"Code","SplCode","TreeCode"
"CALLNOOD","CALLNOOD","Yc"
"CALLNOOD","CALLNOOD","Yc"
"TSUGXJE","TSUGXJE","Hxm"
"FRANPUR","FRANPUR","Kc"
"ABIEAMAD","ABIEAMAD","Ba"
"ABIEBALD","ABIEBALD","Bb"
"ABIECOND","ABIECOND","Bc"
"ABIEGRAD","ABIEGRAD","Bg"
"ABIELASD","ABIELASD","Bl"
"ABIEPROD","ABIEPROD","Bp"
"AILAALTD","AILAALTD","Oj"
"CALODECD","CALODECD","Oa"
"CHAMLAWD","CHAMLAWD","Yp"
"JUNIMARD","JUNIMARD","Js"
"JUNISCOD","JUNISCOD","Jr"
"ACERCIRD","ACERCIRD","Mv"
"ACERMACD","ACERMACD","Mb"
"ALNURUBD","ALNURUBD","Dr"
"ARBUMEND","ARBUMEND","Ra"
"BETUALLD","BETUALLD","Ey"
"BETUNEOD","BETUNEOD","Ea"
"BETUOCCD","BETUOCCD","Ew"
"BETUPAPD","BETUPAPD","Ep"
"CARYOVAD","CARYOVAD","Oi"
"CORNNUTD","CORNNUTD","Gp"
"FRAXAMED","FRAXAMED","Oh"
"MALUFUSD","MALUFUSD","Up"
"POPUBALD","POPUBALD","Acb"
"POPUTRED","POPUTRED","At"
"POPUTRID","POPUTRID","Act"
"PRUNEMAD","PRUNEMAD","Vb"
"PRUNPEND","PRUNPEND","Vp"
"PRUNVIRD","PRUNVIRD","Vv"
"QUERALBD","QUERALBD","Qw"
"QUERGARD","QUERGARD","Qg"
"RHAMPURD","RHAMPURD","Kc"
"SALIAMYD","SALIAMYD","Wa"
"SALIBEBD","SALIBEBD","Wb"
"SALIDISD","SALIDISD","Wd"
"SALILASD","SALILASD","Wp"
"SALISCOD","SALISCOD","Ws"
"SALISITD","SALISITD","Wt"
"LARIGMED","LARIGMED","Ld"
"LARILARD","LARILARD","Lt"
"LARILYAD","LARILYAD","La"
"LARIOCCD","LARIOCCD","Lw"
"LARISIBD","LARISIBD","Ls"
"PICEABID","PICEABID","Sn"
"PICEAXD","PICEAXD","Sx"
"PICEENED","PICEENED","Sxw"
"PICEENGD","PICEENGD","Se"
"PICEGLAD","PICEGLAD","Sw"
"PICEMARD","PICEMARD","Sb"
"PICESITD","PICESITD","Ss"
