TreeCode,ScientificName,EnglishName,Group,Bad
"Ac(Acb, Act)",Populus balsamifera/trichocarpa,balsam poplar/cottonwood,Broadleaf_BC,
Ad,Populus deltoides,eastern cottonwood,Broadleaf_Native,
Ad,Populus deltoides ssp. deltoides,eastern cottonwood,Broadleaf_Native,x
Ad,Populus deltoides ssp. monilifera,plains eastern cottonwood,Broadleaf_Native,x
At,Populus tremuloides,trembling aspen,Broadleaf_BC,
Ba,Abies amabilis,amabilis fir,Conifer_BC,
Bb,Abies balsamea,balsam fir,Conifer_Native,
Bc,Abies concolor,white fir,Conifer_Native,
Bg,Abies grandis,grand fir,Conifer_BC,
Bl,Abies lasiocarpa,subalpine fir,Conifer_BC,
Bm,Abies magnifica var. shastensis,Shasta red fir,Conifer_Native,
Bm,Abies magnifica,red fir,Conifer_Native,
Bp,Abies procera,noble fir,Conifer_Native,
CHCH,Chrysolepis chrysophylla,giant chinkapin (syn Castanopsis chrysophylla),Broadleaf_Native,x
Cw,Thuja plicata,western redcedar,Conifer_BC,
Dr,Alnus rubra,red alder,Broadleaf_BC,
Ea,Betula neoalaskana,Alaska birch,Broadleaf_BC,
Ee,Betula pendula,weeping birch,Broadleaf_Exotic,x
Ep,Betula papyrifera,paper birch,Broadleaf_BC,
Es,Betula pubescens,downy birch,Broadleaf_Exotic,x
Es,Betula pubescens ssp. pubescens,downy birch,Broadleaf_Exotic,x
Ew,Betula occidentalis,water birch,Broadleaf_BC,
Ey,Betula alleghaniensis,yellow birch,Broadleaf_Native,x
"Fd (Fdi, Fdc)",Pseudotsuga menziesii,Douglas-fir,Conifer_BC,
Gp,Cornus nuttallii,western flowering dogwood,Broadleaf_BC,x
Hm,Tsuga mertensiana,mountain hemlock,Conifer_BC,
Hw,Tsuga heterophylla,western hemlock,Conifer_BC,
Jr,Juniperus scopulorum,Rocky Mountain juniper,Conifer_BC,
Js,Juniperus maritima,seaside juniper,Conifer_BC,x
Kc,Frangula purshiana,cascara buckthorn,Broadleaf_BC,x
Kc,Frangula purshiana ssp. purshiana,cascara buckthorn,Broadleaf_BC,x
La,Larix lyallii,subalpine larch,Conifer_BC,
Ld,Larix gmelinii,Dahurian larch,Conifer_Exotic,x
LIDE,Lithocarpus densiflorus,tanoak,Broadleaf_Native,x
Ls,Larix siberica,Siberian larch,Conifer_Exotic,x
Lt,Larix laricina,tamarack,Conifer_BC,
Lw,Larix occidentalis,western larch,Conifer_BC,
Mb,Acer macrophyllum,bigleaf maple,Broadleaf_BC,
Me,Acer negundo,Manitoba maple,Broadleaf_Native,
Mn,Acer platanoides,Norway maple,Broadleaf_Exotic,x
Ms,Acer pseudoplatanus,sycamore maple,Broadleaf_Exotic,x
Mv,Acer circinatum,vine maple,Broadleaf_BC,x
Oa,Calocedrus decurrens,incense cedar,Conifer_Native,
Ob,Sequoiadendron giganteum,giant sequoia,Conifer_Native,
Oc,Sequoia sempervirens,coast redwood,Conifer_Native,
Od,Sorbus aucuparia,European mountain-ash,Broadleaf_Exotic,x
